patent_type,composition_subtype,cmc_subtype,clinical_indications,clinical_population,reasoning_short,lens_id,error
CMC,,Process/Scale-Up,[],[],"The patent's broadest independent claim focuses on methods for producing a compound, CL2A-SN-38, with specific reaction conditions and optimizations for large-scale manufacturing. This indicates a focus on manufacturing optimization and yield improvement, classifying it under 'Process/Scale-Up' in the CMC category.",001-164-692-658-169,
Composition,Unconjugated Antibody,,[],[],"The patent claims a multivalent antibody with specific binding sites, focusing on the structure and binding characteristics of the antibody itself. There is no mention of a linker or payload, indicating it is an unconjugated antibody composition.",039-300-232-515-637,
Composition,Full ADC,,[],[],"The primary claim is directed to an antibody-drug conjugate (ADC) with a specified antibody, linker, and payload, which classifies it as a 'Full ADC' under the composition category. The method of treatment claim is not the broadest claim, so it does not determine the primary classification.",094-825-731-979-424,
Clinical,,,['proliferative disease'],[],The primary claim is directed towards a method of treating a mammal with a proliferative disease using a specific conjugate. This indicates a focus on clinical application rather than the composition of the conjugate itself.,165-451-121-516-190,
Composition,Full ADC,,[],[],"The patent's broadest independent claim is directed to a Ligand Drug Conjugate (LDC) compound, which includes an antibody (Ligand Unit), a linker, and a payload (Drug Unit). This indicates a full ADC composition, as all three components are specified in the claims.",064-424-066-709-583,
Clinical,,,['cancer'],[],"The primary focus of the patent is on a method of treating cancer by using an ADC, as indicated by the broadest independent claim. The claims detail the process of producing and using the ADC to target cancer cells, classifying it under clinical use.",135-017-760-816-800,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) that specifies the antibody, linker, and payload components. This indicates a 'Full ADC' composition subtype as all three components are defined in the claims.",186-558-921-944-814,
Composition,,Formulation/Stability,[],[],"The primary focus of the claims is on a pharmaceutical composition comprising a specific formulation of the compound of Formula (I) in a softgel capsule. This indicates a focus on formulation and stability aspects, classifying it under CMC with a subtype of Formulation/Stability.",075-145-950-118-300,
Clinical,,,"['cancer', 'adrenocortical cancer', 'anal cancer', 'cholangiocarcinoma', 'bladder cancer', 'bone cancer', 'bone metastasis cancer', 'adult brain/central nervous system tumor', 'childhood brain/central nervous system tumor', 'breast cancer', 'male breast cancer', 'childhood cancer', 'primary cancer unknown cancer', 'Castleman disease', 'Merkel cell carcinoma', 'cervical cancer', 'colon cancer', 'colorectal cancer', 'endometrial cancer', 'esophageal cancer', ""Ewing's sarcoma family tumor"", 'eye cancer', 'gallbladder cancer', 'digestive tract cancer', 'gastrointestinal stromal tumor', 'trophoblastic cancer', 'head and neck cancer', ""Kaposi's sarcoma"", 'renal cancer', 'renal cell cancer', 'laryngeal and hypopharyngeal cancer', 'leukemia', 'liver cancer', 'lung cancer', 'lymphoma', 'cutaneous lymphoma', 'malignant mesothelioma', 'multiple myeloma', 'myelodysplastic syndrome', 'nasal and nasalsinus cancer', 'nasopharyngeal cancer', 'neuroblastoma', ""Hodgkin's lymphoma"", ""non-Hodgkin's lymphoma"", ""childhood non-Hodgkin's lymphoma"", 'oral and oropharyngeal cancer', 'osteosarcoma', 'ovarian cancer', 'pancreatic cancer', 'penile cancer', 'malignant pituitary tumor', 'prostate cancer', 'retinoblastoma', 'rhabdomyosarcoma', 'salivary gland cancer', 'sarcoma', 'skin cancer', 'small intestinal cancer', 'testicular cancer', 'thymic cancer', 'thyroid cancer', 'vaginal cancer', 'vulvar cancer', 'Waldenstrom macroglobulinemia', 'Wilms tumor', 'urothelial cancer', 'microsatellite instability solid tumor', 'choriocarcinoma']","['refractory cancer', 'recurrent cancer', 'resistant cancer']","The patent's broadest independent claim is directed to a method of treating cancer using a combination of an IAP inhibitor, an immune checkpoint modulator, and optionally a tubulin inhibitor. This indicates a focus on clinical applications, specifically combination therapies for various cancer types and patient populations.",029-613-240-920-346,
Composition,Full ADC,,[],[],"The patent claims a conjugate represented by a specific formula, which includes a targeting moiety, linker, and bioactive molecule, indicating a full ADC construct. The claims focus on the composition of the ADC rather than methods of treatment or manufacturing processes.",040-122-149-214-59X,
Composition,Full ADC,,[],[],"The primary claim is directed to a compound that includes a maytansinoid derivative linked to an antigen binding unit, which constitutes a full ADC. The claims specify the structure of the linker, payload, and antibody, indicating a complete ADC construct.",079-324-326-110-937,
CMC,,Formulation/Stability,[],[],"The patent's primary focus is on the formulation of the FL118 compound with cyclodextrins and various solvents, which falls under formulation and stability aspects of CMC. The claims detail the composition and preparation of the formulation rather than treatment methods or clinical applications.",106-587-702-968-526,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on a complex where an anti-cotinine antibody is bound to a conjugate of cotinine and a binding material. The claims primarily describe the composition of this complex, with the antibody being a specified component, while the binding material is broadly defined.",107-703-317-876-109,
Composition,Conjugated Antibody,,[],[],"The primary claim focuses on a specific binding member (antibody) that binds to EGFR, with potential conjugation to various agents. The claims detail the structure of the antibody, making it a 'Conjugated Antibody' as the linker and payload are broadly defined.",152-059-136-452-443,
Composition,Unconjugated Payload,,[],[],"The primary focus of the patent is on compositions comprising a DNA demethylating agent and specific benzamide compounds. The claims detail the chemical structure of these compounds, indicating that the patent is primarily about the composition of these unconjugated payloads rather than their clinical application or manufacturing process.",011-388-852-098-320,
Composition,Unconjugated Payload,,[],[],"The primary focus of the claims is on novel benzodiazepine derivatives, which are payloads with antiproliferative activity. The claims do not specify a complete ADC construct, but rather the payload component itself.",032-455-867-002-052,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) of a specific formula, which includes an antibody, a linker, and a splicing modulator payload. This indicates a 'Full ADC' composition subtype as all three components are specified in the claims.",139-361-532-934-31X,
Clinical,,,['cancer'],[],"The primary focus of the patent is on methods of treatment using natural killer cells and antibody-recruiting molecules, specifically for conditions like cancer. The claims are centered around therapeutic methods rather than the composition of the molecules themselves.",168-351-691-230-523,
Composition,Full ADC,,[],[],"The patent primarily claims a ligand drug conjugate of formula XV, which includes a targeting moiety (antibody), a linker, and a bioactive molecule (payload). This indicates a full ADC composition as the main inventive concept.",159-685-043-084-12X,
Composition,,,[],[],"The primary focus of the patent is on a liposomal composition containing alpha polyglutamated pralatrexate. The claims are centered around the composition itself, rather than specific methods of treatment or manufacturing processes.",012-610-528-009-526,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on the conjugate structure involving an anti-CD22 antibody with a maytansine payload. The claims detail the specific modifications to the antibody, indicating that the antibody is the most defined component, while the linker and payload are broadly defined.",093-295-273-454-628,
Composition,Conjugated Payload,,[],[],"The primary focus of the patent is on cytotoxic benzodiazepine derivatives and their conjugates with cell-binding agents, which indicates a focus on the payload component of an ADC. The claims detail the structure of the cytotoxic compound and its conjugation to a cell-binding agent, but do not specify the antibody or linker in detail.",116-872-710-656-827,
Clinical,,,['cancer'],[],"The patent's broadest independent claim focuses on a method of treating cancer using a combination of therapies, including an immune modulator and engineered cells. This indicates a primary focus on clinical applications rather than composition or manufacturing aspects.",129-506-605-984-660,
