Indication,on_tma_slide,ROR1_H0,ROR1_H1_100,ROR1_H101_200,ROR1_H201_300,ROR1_pct_positive,ROR1_pct_targetable,ROR1_weighted,B7H3_H0,B7H3_H1_100,B7H3_H101_200,B7H3_H201_300,B7H3_pct_positive,B7H3_pct_targetable,B7H3_weighted
NSCLC (Lung Adeno),True,21.0,71.0,8.0,0.0,79.0,8.0,36.4,12.0,78.0,8.0,2.0,88.0,10.0,41.2
NSCLC (Lung Squamous),True,21.0,71.0,8.0,0.0,79.0,8.0,36.4,12.0,78.0,8.0,2.0,88.0,10.0,41.2
HNSCC,True,25.0,70.0,5.0,0.0,75.0,5.0,33.0,6.0,74.0,17.0,3.0,94.0,20.0,49.6
TNBC (Breast),True,30.0,69.0,1.0,0.0,70.0,1.0,28.6,9.0,58.0,28.0,5.0,91.0,33.0,56.2
Ovarian,True,40.0,60.0,0.0,0.0,60.0,0.0,24.0,15.0,81.0,4.0,0.0,85.0,4.0,36.4
Neuroendocrine,True,54.0,44.0,2.0,0.0,46.0,2.0,19.6,30.0,63.0,6.0,1.0,70.0,7.0,32.2
Gastric/GEJ,True,62.0,38.0,0.0,0.0,38.0,0.0,15.2,51.0,47.0,1.0,1.0,49.0,2.0,20.8
SCLC,True,64.0,36.0,0.0,0.0,36.0,0.0,14.4,13.0,72.0,12.0,3.0,87.0,15.0,43.8
Colorectal,False,,,,,,,,,,,,,,
Pancreatic,False,,,,,,,,,,,,,,
Cervical,False,,,,,,,,,,,,,,
Endometrial,False,,,,,,,,,,,,,,
