owners,ROR1,B7H3,Topo1,Total_patents
DAIICHI SANKYO COMPANY LIMITED,0,7,0,7
SHANGHAI HENGRUI PHARMACEUTICAL CO. LTD,0,4,2,4
UNIV PENNSYLVANIA,2,4,0,4
NOVARTIS AG,2,3,0,3
JIANGSU HENGRUI MEDICINE CO. LTD,0,3,2,3
NBE-THERAPEUTICS AG,2,0,0,2
BIO-THERA SOLUTIONS LTD,1,2,2,2
PDX PHARMACEUTICALS INC,0,1,0,1
SHANGHAI HANSOH BIOMEDICAL CO. LTD,0,1,1,1
SHANGHAI FUDAN-ZHANGJIANG BIO-PHARMACEUTICAL CO. LTD,0,1,1,1
RZNOMICS INC,0,1,0,1
RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,1,1,0,1
RECURIUM IP HOLDINGS LLC,1,0,0,1
RAMPART HEALTH L.L.C,0,1,1,1
PINOTBIO INC,1,1,1,1
ABBVIE INC,0,1,0,1
OSPEDALE SAN RAFFAELE SRL,1,0,0,1
SHANGHAI MICURX PHARMACEUTICAL CO LTD,1,1,1,1
NOVARTIS PHARMA AG,1,1,0,1
NIPPON SHINYAKU CO. LTD,0,1,0,1
MORPHOSYS AG,1,1,0,1
MINGHUI PHARMACEUTICAL,0,1,0,1
MEMORIAL SLOAN KETTERING CANCER CENTER,0,1,0,1
MEDILINK THERAPEUTICS (SUZHOU) CO. LTD,0,1,1,1
OREGON HEALTH & SCIENCE UNIVERSITY,0,1,0,1
SHANGHAI RUOTUO BIOSCIENCES CO LTD,0,1,1,1
SHANGHAI RUOTUO BIOSCIENCES,0,1,1,1
MABWELL (SHANGHAI) BIOSCIENCE CO. LTD,1,0,1,1
YAFEI SHANGHAI BIOLOG MEDICINE SCIENCE & TECHNOLOG,1,0,0,1
VERNALIS (R&D) LIMITED,0,1,0,1
VELOSBIO INC,1,0,1,1
UNIVERSITY OF MIAMI,0,1,0,1
UNIV YALE,0,1,0,1
UNIV LELAND STANFORD JUNIOR,0,1,0,1
UNIV CORNELL,1,0,0,1
UBE CORP,1,0,1,1
TUNGHAI UNIVERSITY,1,0,0,1
TRUSTEES OF BOSTON UNIVERSITY,1,0,0,1
THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY DEPARTMENT OF HEALTH AND HUMAN SERVICES,1,0,0,1
THE GENERAL HOSPITAL CORPORATION,1,1,0,1
THE BROAD INSTITUTE INC,1,1,0,1
TARGIMMUNE THERAPEUTICS AG,0,1,0,1
SYSTIMMUNE INC,0,1,1,1
SUTRO BIOPHARMA INC,1,0,1,1
SHENZHEN EVERGREEN THERAPEUTICS CO LTD,0,1,0,1
SHANGHAI SHENGDI PHARMACEUTICAL CO. LTD,0,1,0,1
SHANGHAI SENHUI MEDICINE CO. LTD,0,1,0,1
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1,1,0,1
LES LABORATOIRES SERVIER,0,1,0,1
LIGACHEM BIOSCIENCES INC,1,0,0,1
ABL BIO INC,1,0,0,1
DARTSBIO PHARMACEUTICALS LTD,0,1,0,1
DANA-FARBER CANCER INSTITUTE INC,1,1,0,1
CHANGZHOU HANSOH PHARMACEUTICAL CO. LTD,0,1,1,1
CHANG GUNG MEMORIAL HOSPITAL,0,1,1,1
CARNA BIOSCIENCES INC,0,1,0,1
BOARD OF REGENTS THE UNIVERSITY OF TEXAS SYSTEM,0,1,0,1
BIONECURE THERAPEUTICS INC,0,1,0,1
BEYONDSPRING PHARMACEUTICALS INC,0,1,0,1
BEONE MEDICINES I GMBH,0,1,1,1
BEIGENE LTD,0,1,1,1
BAYER PHARMA AKTIENGESELLSCHAFT,0,1,0,1
BAYER AKTIENGESELLSCHAFT,0,1,0,1
BAILI-BIO (CHENGDU) PHARMACEUTICAL CO. LTD,0,1,1,1
BAILI BIO CHENGDU PHARMACEUTICAL CO LTD,0,1,1,1
AVACTA LIFE SCIENCES LIMITED,0,1,0,1
AURIGENE ONCOLOGY LIMITED,0,1,0,1
AURIGENE DISCOVERY TECHNOLOGIES LIMITED,0,1,0,1
AMBRX INC,1,1,0,1
ALMAC DISCOVERY LIMITED,1,0,0,1
DCB-USA LLC,1,0,0,1
DEVELOPMENT CENTER FOR BIOTECHNOLOGY,1,0,0,1
DUALITY BIOLOGICS (SUZHOU) CO. LTD,0,1,0,1
HUYABIO INTERNATIONAL LLC,0,1,0,1
KUNSHAN XINYUNDA BIOTECH CO LTD,1,0,0,1
KOWA CO,0,1,1,1
JUNO THERAPEUTICS INC,1,0,0,1
JIANGSU MABWELL HEALTH PHARMACEUTICAL R&D CO. LTD,1,0,1,1
JIANGSU HENGRUI PHARMACEUTICALS CO. LTD. (AKA JIANGSU HENGRUI MEDICINE CO. LTD),0,1,1,1
JIANGSU HENGRUI PHARMACEUTICALS CO. LTD,0,1,0,1
