Indication,US_annual_incidence,pct_eligible,metastatic_OS_months,addressable_patients_yr,unmet_need_score,neok_priority,on_tma_slide,ROR1_H0,ROR1_H1_100,ROR1_H101_200,ROR1_H201_300,ROR1_pct_positive,ROR1_pct_targetable,m1_ror1,B7H3_H0,B7H3_H1_100,B7H3_H101_200,B7H3_H201_300,B7H3_pct_positive,B7H3_pct_targetable,m1_b7h3,CPTAC_study,m2_ror1,ROR1_n,ROR1_pct_det,m2_b7h3,B7H3_n,B7H3_pct_det,ct_search_term,active_adc_ph23,active_adc_all,completed_topo1,direct_active,has_expression_data,m1_applicable,m2_applicable,score_unmet_need,score_topo1,score_patient_pool,score_white_space,score_direct_comp,commercial_score,score_m1_ror1,score_m1_b7h3,medical_score_m1,overall_m1,score_m2_ror1,score_m2_b7h3,medical_score_m2,overall_m2,rank_m1,rank_m2,rank_delta,avg_overall,final_rank
Pancreatic,67530,51,4.2,34440,4.2,True,False,,,,,,,,,,,,,,,CPTAC PDA Discovery Study - Proteome,0.08,212.0,92.2,-0.124,230.0,100.0,pancreatic cancer,11,24,121,3,True,False,True,100.0,69.6,43.1,84.8,90.9,69.3,,,,,67.3,28.1,71.5,70.4,,1.0,,70.4,1
NSCLC (Lung Squamous),57353,57,6.0,32691,6.0,True,True,21.0,71.0,8.0,0.0,79.0,8.0,36.4,12.0,78.0,8.0,2.0,88.0,10.0,41.2,CPTAC LSCC Discovery Study - Proteome,0.2,190.0,86.4,-0.136,220.0,100.0,lung squamous cell carcinoma,6,17,8,5,True,True,True,80.2,3.0,40.4,100.0,72.7,70.7,100.0,57.6,60.3,65.5,100.0,25.2,53.9,62.3,1.0,2.0,-1.0,63.9,2
NSCLC (Lung Adeno),91764,57,9.4,52305,9.4,True,True,21.0,71.0,8.0,0.0,79.0,8.0,36.4,12.0,78.0,8.0,2.0,88.0,10.0,41.2,CPTAC LUAD Confirmatory Study - Proteome,0.002,270.0,100.0,-0.006,270.0,100.0,non-small cell lung cancer,31,54,48,7,True,True,True,42.9,46.3,70.5,24.2,54.5,48.8,100.0,57.6,58.1,53.4,46.0,55.9,47.0,47.9,3.0,4.0,-1.0,50.6,3
HNSCC,72770,15,5.1,10915,5.1,False,True,25.0,70.0,5.0,0.0,75.0,5.0,33.0,6.0,74.0,17.0,3.0,94.0,20.0,49.6,CPTAC HNSCC Discovery Study - Proteome,-0.035,59.0,29.6,-0.243,199.0,100.0,head and neck cancer,20,33,66,8,True,True,True,90.1,54.3,7.0,57.6,45.5,34.9,84.5,81.4,78.3,56.6,36.0,0.0,52.3,43.6,2.0,5.0,-3.0,50.1,4
TNBC (Breast),48687,40,6.7,19474,6.7,False,True,30.0,69.0,1.0,0.0,70.0,1.0,28.6,9.0,58.0,28.0,5.0,91.0,33.0,56.2,PTRC TNBC - Proteome,,,,-0.026,30.0,100.0,triple negative breast cancer,23,35,7,6,True,True,False,72.5,0.0,20.1,48.5,63.6,40.2,64.5,100.0,58.3,49.2,,,,,4.0,,,49.2,5
Gastric/GEJ,31510,36,7.4,11343,7.4,True,True,62.0,38.0,0.0,0.0,38.0,0.0,15.2,51.0,47.0,1.0,1.0,49.0,2.0,20.8,CPTAC STAD Study - Proteome,0.153,187.0,84.6,-0.207,221.0,100.0,gastric OR gastroesophageal,20,28,88,2,True,True,True,64.8,61.5,7.6,57.6,100.0,46.1,3.6,0.0,38.8,42.4,87.2,8.5,57.2,51.6,5.0,3.0,2.0,47.0,6
Neuroendocrine,7960,80,9.9,6368,9.9,False,True,54.0,44.0,2.0,0.0,46.0,2.0,19.6,30.0,63.0,6.0,1.0,70.0,7.0,32.2,,,,,,,,neuroendocrine tumor OR neuroendocrine carcinoma,6,10,11,6,True,True,False,37.4,10.4,0.0,100.0,63.6,52.7,23.6,32.2,26.8,39.8,,,,,6.0,,,39.8,7
Endometrial,68270,15,11.4,10240,11.4,True,False,,,,,,,,,,,,,,,CPTAC UCEC Confirmatory Study - Proteome,-0.167,158.0,100.0,0.181,158.0,100.0,endometrial OR uterine cancer,23,36,35,4,True,False,True,20.9,38.4,5.9,48.5,81.8,38.1,,,,,0.0,100.0,36.9,37.5,,6.0,,37.5,8
Ovarian,21010,55,13.3,11555,13.3,True,True,40.0,60.0,0.0,0.0,60.0,0.0,24.0,15.0,81.0,4.0,0.0,85.0,4.0,36.4,PTRC HGSOC FFPE Discovery - Proteome,-0.007,190.0,90.5,0.005,210.0,100.0,ovarian cancer,26,40,85,9,True,True,True,0.0,60.6,8.0,39.4,36.4,26.2,43.6,44.1,32.7,29.4,43.6,58.5,35.6,30.9,7.0,7.0,0.0,30.1,9
SCLC,34412,57,8.3,19614,8.3,True,True,64.0,36.0,0.0,0.0,36.0,0.0,14.4,13.0,72.0,12.0,3.0,87.0,15.0,43.8,Liu et al. 2024 (external),,,,-0.0486,112.0,,small cell lung cancer,39,63,132,13,True,True,False,54.9,71.8,20.3,0.0,0.0,8.1,0.0,65.0,50.2,29.2,,,,,8.0,,,29.2,10
