owners,ROR1,B7H3,Topo1,Bispecific,Total
DAIICHI SANKYO COMPANY LIMITED,0,7,4,0,11
SHANGHAI HENGRUI PHARMACEUTICAL CO. LTD,0,4,5,0,9
JIANGSU HENGRUI MEDICINE CO. LTD,0,3,5,0,8
BIO-THERA SOLUTIONS LTD,1,2,4,0,7
NOVARTIS AG,2,3,1,0,6
NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH INC,2,3,0,0,5
SYSTIMMUNE INC,0,1,4,0,5
BAILI-BIO (CHENGDU) PHARMACEUTICAL CO. LTD,0,1,4,0,5
JIANGSU HANSOH PHARMACEUTICAL GROUP CO. LTD,0,1,3,0,4
SHANGHAI HANSOH BIOMEDICAL CO. LTD,0,1,3,0,4
CHANG GUNG MEMORIAL HOSPITAL,0,1,1,1,3
BEONE MEDICINES I GMBH,0,1,2,0,3
BEIGENE LTD,0,1,2,0,3
RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,1,1,0,1,3
MORPHOSYS AG,1,1,1,0,3
SHANGHAI MICURX PHARMACEUTICAL CO LTD,1,1,1,0,3
ZYMEWORKS BC INC,0,0,3,0,3
LIGACHEM BIOSCIENCES INC,1,0,2,0,3
ASTRAZENECA UK LIMITED,0,0,3,0,3
PINOTBIO INC,1,1,1,0,3
MABWELL (SHANGHAI) BIOSCIENCE CO. LTD,1,0,2,0,3
GAN & LEE PHARMACEUTICALS CO. LTD,1,1,1,0,3
UNIV PENNSYLVANIA,1,2,0,0,3
THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,1,2,0,0,3
SHANGHAI RUOTUO BIOSCIENCES,0,1,1,0,2
HANGZHOU DAC BIOTECH CO. LTD,0,1,1,0,2
THE BROAD INSTITUTE INC,1,1,0,0,2
HAINAN SIMCERE ZAIMING PHARMACEUTICAL CO. LTD,1,0,1,0,2
IMMUNOGEN INC,0,0,2,0,2
GI BIOME INC,0,1,1,0,2
FORTVITA BIOLOGICS SINGAPORE PTE LTD,0,1,0,1,2
SUTRO BIOPHARMA INC,1,0,1,0,2
SHANGHAI RUOTUO BIOSCIENCES CO LTD,0,1,1,0,2
JIANGSU HENGRUI PHARMACEUTICALS CO. LTD. (AKA JIANGSU HENGRUI MEDICINE CO. LTD),0,1,1,0,2
SHANGHAI FUDAN-ZHANGJIANG BIO-PHARMACEUTICAL CO. LTD,0,1,1,0,2
SEAGEN INC,0,0,2,0,2
JIANGSU MABWELL HEALTH PHARMACEUTICAL R&D CO. LTD,1,0,1,0,2
REMEGEN CO. LTD,0,0,2,0,2
REGENERON PHARMACEUTICALS INC,0,0,2,0,2
KOWA CO,0,1,1,0,2
RAMPART HEALTH L.L.C,0,1,1,0,2
MAGENTA THERAPEUTICS INC,0,0,2,0,2
MEDILINK THERAPEUTICS (SUZHOU) CO. LTD,0,1,1,0,2
MEDIMMUNE LLC,0,0,2,0,2
MERSANA THERAPEUTICS INC,0,0,2,0,2
NOVARTIS PHARMA AG,1,1,0,0,2
NBE-THERAPEUTICS AG,2,0,0,0,2
THE GENERAL HOSPITAL CORPORATION,1,1,0,0,2
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1,1,0,0,2
SICHUAN KELUN-BIOTECH BIOPHARMACEUTICAL CO. LTD,0,0,2,0,2
CSPC MEGALITH BIOPHARMACEUTICAL CO. LTD,0,0,2,0,2
BAILI BIO CHENGDU PHARMACEUTICAL CO LTD,0,1,1,0,2
ASTRAZENECA PHARMACEUTICALS LP,0,0,2,0,2
UBE CORP,1,0,1,0,2
CHANGZHOU HANSOH PHARMACEUTICAL CO. LTD,0,1,1,0,2
YAFEI SHANGHAI BIOLOG MEDICINE SCIENCE & TECHNOLOG,1,0,0,1,2
TORAY INDUSTRIES INC,0,0,2,0,2
CHIA TAI TIANQING PHARMACEUTICAL GROUP CO. LTD,0,0,2,0,2
VELOSBIO INC,1,0,1,0,2
ALTEOGEN INC,0,0,2,0,2
THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY DEPARTMENT OF HEALTH AND HUMAN SERVICES,1,0,1,0,2
DANA-FARBER CANCER INSTITUTE INC,1,1,0,0,2
AMBRX INC,1,1,0,0,2
WIGEN BIOMEDICINE TECHNOLOGY (SHANGHAI) CO. LTD,0,0,1,0,1
VIRTUOSO BINCO INC,0,0,1,0,1
VIRTUOSO THERAPEUTICS SHANGHAI LTD,0,0,1,0,1
RECURIUM IP HOLDINGS LLC,1,0,0,0,1
VIVACE THERAPEUTICS INC,0,0,1,0,1
PROMEGA CORPORATION,0,0,1,0,1
VOR BIOPHARMA INC,0,0,1,0,1
PHASEBIO PHARMACEUTICALS INC,0,0,1,0,1
PFIZER,0,0,1,0,1
PEAK WAY GROUP INC,0,0,1,0,1
WANG YU,0,0,1,0,1
NUECOLOGY BIOMEDICAL INC,0,0,1,0,1
YALE UNIVERSITY,0,0,1,0,1
XL PROTEIN GMBH,0,0,1,0,1
PAEAN BIOTECHNOLOGY INC,0,0,1,0,1
ZENO MANAGEMENT INC,1,0,0,0,1
VERNALIS (R&D) LIMITED,0,1,0,0,1
OXFORD BIOTHERAPEUTICS LTD,0,0,1,0,1
OTSUKA PHARMACEUTICAL CO. LTD,0,0,1,0,1
YAFEI SHANGHAI BIOLOGY MEDICINE SCIENCE & TECHNOLOGY CO. LTD,0,0,1,0,1
OSPEDALE SAN RAFFAELE SRL,1,0,0,0,1
NOVIMMUNE SA,0,0,1,0,1
OREGON HEALTH & SCIENCE UNIVERSITY,0,1,0,0,1
OBI PHARMA INC,0,0,1,0,1
PDX PHARMACEUTICALS INC,0,1,0,0,1
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,0,0,1,0,1
RINAT NEUROSCIENCE CORP,0,0,1,0,1
TUOJIE BIOTECH (SHANGHAI) CO. LTD,0,0,1,0,1
THE UNITED STATES GOVERNMENT REPRESENTED BY THE DEPARTMENT OF VETERANS AFFAIRS,0,0,1,0,1
TARGIMMUNE THERAPEUTICS AG,0,1,0,0,1
TAIHO PHARMACEUTICAL CO. LTD,0,0,1,0,1
SYNAFFIX B.V,0,0,1,0,1
SUZHOU SUNCADIA BIOPHARMACEUTICALS CO. LTD,0,0,1,0,1
STARPHARMA PTY LTD,0,0,1,0,1
NORTHWESTERN UNIVERSITY,0,0,1,0,1
SICHUAN BAILI PHARMACEUTICAL CO. LTD,0,0,1,0,1
SHENZHEN EVERGREEN THERAPEUTICS CO LTD,0,1,0,0,1
TRUSTEES OF BOSTON UNIVERSITY,1,0,0,0,1
SHANGHAI SHENGDI PHARMACEUTICAL CO. LTD,0,1,0,0,1
SHANGHAI SENHUI MEDICINE CO. LTD,0,1,0,0,1
TUNGHAI UNIVERSITY,1,0,0,0,1
UNIST(ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY),0,0,1,0,1
UNIVERSITY OF UTAH RESEARCH FOUNDATION,0,0,1,0,1
SHANGHAI MABGEN BIOTECH LTD,0,0,1,0,1
SHANGHAI INSTITUTE OF MATERIA MEDICA CHINESE ACADEMY OF SCIENCES,0,0,1,0,1
SHANGHAI HONGCHENG PHARMACEUTICAL CO. LTD,0,0,1,0,1
UNIV CORNELL,1,0,0,0,1
UNIV LELAND STANFORD JUNIOR,0,1,0,0,1
UNIV MUENCHEN TECH,0,0,1,0,1
SHANGHAI HANSOH BIOMEDICAL CO LTD,0,0,1,0,1
UNIV TAIPEI MEDICAL,0,0,1,0,1
SEOUL NATIONAL UNIVERSITY R&DB FOUNDATION,0,0,1,0,1
UNIV YALE,0,1,0,0,1
UNIVERSITY OF MIAMI,0,1,0,0,1
THE JOHNS HOPKINS UNIVERSITY,0,0,1,0,1
RZNOMICS INC,0,1,0,0,1
UNIVERSITY OF UTAH,0,0,1,0,1
ABBVIE INC,0,1,0,0,1
NIPPON SHINYAKU CO. LTD,0,1,0,0,1
DAIICHI SANKYO CO LTD,0,0,1,0,1
BOARD OF REGENTS THE UNIVERSITY OF TEXAS SYSTEM,0,1,0,0,1
BRIGHAM AND WOMEN'S HOSPITAL INC,0,0,1,0,1
CANGET IOTEKPHARMA LLC,0,0,1,0,1
CARNA BIOSCIENCES INC,0,1,0,0,1
CHANGZHOU HANSOH PHARMACEUTICAL CO LTD,0,0,1,0,1
CHILDREN'S MEDICAL CENTER CORPORATION,0,0,1,0,1
CHO PHARMA INC,0,0,1,0,1
CROWN BIOSCIENCE INC,0,0,1,0,1
DARTSBIO PHARMACEUTICALS LTD,0,1,0,0,1
ETUBICS CORPORATION,0,1,0,0,1
DCB-USA LLC,1,0,0,0,1
DEV CT BIOTECHNOLOGY,0,0,1,0,1
DEVELOPMENT CENTER FOR BIOTECHNOLOGY,1,0,0,0,1
DUALITY BIOLOGICS (SUZHOU) CO. LTD,0,1,0,0,1
EBERHARD KARLS UNIVERSITAET TUEBINGEN MEDIZINISCHE FAKULTAET,0,1,0,0,1
EDITAS MEDICINE INC,1,0,0,0,1
ELLIPSES PHARMA LTD,0,0,1,0,1
ENDO PHARMACEUTICALS INC,0,0,1,0,1
BLISS BIOPHARMACEUTICAL HANGZHOU CO LTD,0,0,1,0,1
BIRDIE BIOPHARMACEUTICALS INC,0,0,1,0,1
BIOTHEUS INC,0,0,1,0,1
BIONTECH SE,0,0,1,0,1
ALMAC DISCOVERY LIMITED,1,0,0,0,1
ANTLERA THERAPEUTICS INC,0,0,1,0,1
ARBELE LIMITED,0,0,1,0,1
ARIZONA BOARD OF REGENTS ON BEHALF OF ARIZONA STATE UNIVERSITY,0,0,1,0,1
ARMY MEDICAL CENTER OF PLA,0,0,1,0,1
ASANA BIOSCIENCES LLC,0,0,1,0,1
ASTEX THERAPEUTICS LIMITED,0,0,1,0,1
ASTRAZENECA AB,0,0,1,0,1
AURIGENE DISCOVERY TECHNOLOGIES LIMITED,0,1,0,0,1
AURIGENE ONCOLOGY LIMITED,0,1,0,0,1
AVACTA LIFE SCIENCES LIMITED,0,1,0,0,1
BAYER AKTIENGESELLSCHAFT,0,1,0,0,1
BAYER PHARMA AKTIENGESELLSCHAFT,0,1,0,0,1
BEYONDSPRING PHARMACEUTICALS INC,0,1,0,0,1
BIO THERA SOLUTIONS LTD,0,0,1,0,1
BIOMED VALLEY DISCOVERIES INC,0,0,1,0,1
BIONECURE THERAPEUTICS INC,0,1,0,0,1
ENGENEIC MOLECULAR DELIVERY PTY LTD,0,0,1,0,1
FATE THERAPEUTICS INC,0,1,0,0,1
NATIONAL CENTRE FOR CELL SCIENCE,0,0,1,0,1
ABL BIO INC,1,0,0,0,1
KMD BIO CO LTD,0,0,1,0,1
KUNSHAN XINYUNDA BIOTECH CO LTD,1,0,0,0,1
L.E.A.F. HOLDINGS GROUP LLC,0,0,1,0,1
LES LABORATOIRES SERVIER,0,1,0,0,1
LIN NAN-HORNG,0,0,1,0,1
